municipio;codigo_ibge;bioma;area_urbana_2024_ha;area_urbana_2014_ha;delta_urbana_10a_ha;area_urbana_drenagem_ate_3m_2024_ha;pct_urbana_em_drenagem_baixa;fonte;colecao;observacao
Cuiabá;5103403;Cerrado;16865.1;14528.8;2336.2;4349.2;25.8;MapBiomas;10_modulo_urbano;Pressão de ocupação municipal — não é mancha na faixa HAND
Várzea Grande;5108402;Cerrado;8606.5;7500.8;1105.7;2155.5;25.0;MapBiomas;10_modulo_urbano;Pressão de ocupação municipal — não é mancha na faixa HAND
Chapada dos Guimarães;5103007;Cerrado;1263.3;904.6;358.7;252.4;20.0;MapBiomas;10_modulo_urbano;Pressão de ocupação municipal — não é mancha na faixa HAND
Poconé;5106505;Cerrado;1040.5;947.2;93.4;505.3;48.6;MapBiomas;10_modulo_urbano;Pressão de ocupação municipal — não é mancha na faixa HAND
Nobres;5105903;Cerrado;732.4;628.2;104.2;314.7;43.0;MapBiomas;10_modulo_urbano;Pressão de ocupação municipal — não é mancha na faixa HAND
Rosário Oeste;5107701;Cerrado;508.4;430.8;77.6;114.3;22.5;MapBiomas;10_modulo_urbano;Pressão de ocupação municipal — não é mancha na faixa HAND
Santo Antônio de Leverger;5107800;Cerrado;490.4;276.7;213.6;185.6;37.8;MapBiomas;10_modulo_urbano;Pressão de ocupação municipal — não é mancha na faixa HAND
Nossa Senhora do Livramento;5106109;Cerrado;206.8;167.6;39.2;59.7;28.9;MapBiomas;10_modulo_urbano;Pressão de ocupação municipal — não é mancha na faixa HAND
Jangada;5104906;Cerrado;194.1;138.6;55.6;23.0;11.8;MapBiomas;10_modulo_urbano;Pressão de ocupação municipal — não é mancha na faixa HAND
Acorizal;5100102;Cerrado;185.8;130.6;55.2;43.3;23.3;MapBiomas;10_modulo_urbano;Pressão de ocupação municipal — não é mancha na faixa HAND
Barão de Melgaço;5101605;Pantanal;65.4;53.5;11.9;28.5;43.6;MapBiomas;10_modulo_urbano;Pressão de ocupação municipal — não é mancha na faixa HAND
